	word	quideword	cerf	pos
230	collar	ON AN ANIMAL	B2	noun
231	beak		C1	noun
232	bark	DOG	B2	verb
233	breed		B2	verb
234	ad		A1	noun
235	band		A1	noun
236	book	FOR READING	A1	noun
237	camera		A1	noun
238	cartoon	FILM	A2	noun
239	cartoon	DRAWING	A2	noun
240	channel	TV	A2	noun
241	clown		A2	noun
242	act	THEATER	B1	noun
243	album	MUSIC	B1	noun
244	article	NEWSPAPER	B1	noun
245	audience	GROUP	B1	noun
246	biography		B1	noun
247	chapter		B1	noun
248	character	IN A STORY	B1	noun
249	circus		B1	noun
250	audience	TYPE	B2	noun
251	beat	MUSIC	B2	noun
252	cast		B2	noun
253	cello		B2	noun
254	choir		B2	noun
255	column	PRINTING	B2	noun
256	bow	INSTRUMENT	C2	noun
257	art	PAINTINGS/DRAWINGS, ETC.	A2	noun
258	cable	TELEVISION/TELEPHONE	B1	noun
259	ballet		B2	noun
260	cinema	ART	C1	noun
261	brass	MUSIC	C2	noun
262	background	PICTURE	B2	noun
263	accompany	MUSIC	C2	verb
264	act	PERFORM	B1	verb
265	advertise	TRY TO SELL	B1	verb
266	broadcast		B2	verb
267	arm	BODY	A1	noun
268	body	PERSON	A1	noun
269	accident	BAD EVENT	A2	noun
270	back	BODY	A2	noun
271	brain	BODY PART	A2	noun
272	cold	ILLNESS	A2	noun
273	ache		B1	noun
274	ankle		B1	noun
275	body	NOT ARMS/LEGS	B1	noun
276	breast		B1	noun
277	cheek		B1	noun
278	chin		B1	noun
279	beat	REGULAR SOUND	B2	noun
280	bite	INJURY	B2	noun
281	breakdown	ILLNESS	B2	noun
282	bruise		B2	noun
283	bug	ILLNESS	B2	noun
284	chest	BODY	B2	noun
285	butt		C1	noun
286	antibiotic		C2	noun
287	blister		C2	noun
288	calf	LEG	C2	noun
289	case	ILLNESS	C2	noun
290	blood	RED LIQUID	A2	noun
291	breath	AIR	B1	noun
292	care	PROTECTION	B2	noun
293	cholesterol		C1	noun
294	bandage		A2	noun
295	birth	BABY	A2	noun
296	aspirin		B1	noun
297	backache		B1	noun
298	bone		B1	noun
299	beat	HEART	B1	verb
300	bleed		B1	verb
301	ache		B2	verb
302	catch	ILLNESS	A2	verb
303	burn	HURT BODY	B1	verb
304	bump	HURT	B2	verb
305	carry	DISEASE	C1	verb
306	attack	DISEASE	C2	verb
307	breathe		B1	verb
308	blouse		A1	noun
309	boot		A1	noun
310	coat		A1	noun
311	belt	CLOTHING	A2	noun
312	bracelet		A2	noun
313	cap		A2	noun
314	button	ON CLOTHING	B1	noun
315	collar	PART OF CLOTHES	B1	noun
316	badge		B2	noun
317	bikini		B2	noun
318	bra		B2	noun
319	cardigan		B2	noun
320	answer	REACTION	A1	noun
321	capital letter		A2	noun
322	card	GREETINGS	A2	noun
323	check	MARK	A2	noun
324	accent	PRONUNCIATION	B1	noun
325	alarm	WARNING	B1	noun
326	alphabet		B1	noun
327	brochure		B1	noun
