	word	quideword	cerf	pos
228	breed	KEEP ANIMALS	B2	verb
229	book	FOR READING	A1	noun
230	camera		A1	noun
231	album	MUSIC	A2	noun
232	cartoon	FILM	A2	noun
233	cartoon	DRAWING	A2	noun
234	channel	TV	A2	noun
235	clown		A2	noun
236	act	THEATRE	B1	noun
237	ad		B1	noun
238	advert		B1	noun
239	article	NEWSPAPER	B1	noun
240	biography		B1	noun
241	chapter		B1	noun
242	character	IN A STORY	B1	noun
243	chat show		B1	noun
244	circus		B1	noun
245	beat	MUSIC	B2	noun
246	cello		B2	noun
247	column	PRINTING	B2	noun
248	bow	MUSIC	C2	noun
249	art	PAINTINGS/DRAWINGS, ETC.	A2	noun
250	cable	TELEVISION/TELEPHONE	B1	noun
251	cinema	ART	C1	noun
252	brass	MUSIC	C2	noun
253	ballet		B1	noun
254	background	PICTURE	B2	noun
255	accompany	MUSIC	C2	verb
256	act	PERFORM	B1	verb
257	advertise	TRY TO SELL	B1	verb
258	broadcast		B2	verb
259	arm	BODY	A1	noun
260	body	PERSON	A1	noun
261	accident	BAD EVENT	A2	noun
262	back	BODY	A2	noun
263	brain	IN HEAD	A2	noun
264	cold	ILLNESS	A2	noun
265	ache		B1	noun
266	ankle		B1	noun
267	body	NOT ARMS/LEGS	B1	noun
268	bottom	BODY PART	B1	noun
269	breast		B1	noun
270	cheek		B1	noun
271	chin		B1	noun
272	beat	REGULAR SOUND	B2	noun
273	bite	INJURY	B2	noun
274	breakdown	ILLNESS	B2	noun
275	bruise		B2	noun
276	bug	ILLNESS	B2	noun
277	chest	BODY	B2	noun
278	antibiotic		C2	noun
279	blister		C2	noun
280	calf	LEG	C2	noun
281	case	ILLNESS	C2	noun
282	blood	RED LIQUID	A2	noun
283	breath	AIR	B1	noun
284	care	PROTECTION	B2	noun
285	cholesterol		C1	noun
286	aspirin		B1	noun
287	backache		B1	noun
288	bandage		B1	noun
289	birth	BABY	B1	noun
290	bone	IN BODY	B1	noun
291	beat	HEART	B1	verb
292	bleed		B1	verb
293	ache		B2	verb
294	catch	ILLNESS	A2	verb
295	burn	HURT BODY	B1	verb
296	bump	HURT	B2	verb
297	carry	DISEASE	C1	verb
298	attack	DISEASE	C2	verb
299	breathe		B1	verb
300	coat		A1	noun
301	belt	CLOTHING	A2	noun
302	boot	SHOE	A2	noun
303	cap		A2	noun
304	bracelet		B1	noun
305	button	ON CLOTHING	B1	noun
306	collar	PART OF CLOTHES	B1	noun
307	badge		B2	noun
308	bikini		B2	noun
309	bow	KNOT	B2	noun
310	bra		B2	noun
311	cardigan		B2	noun
312	answer	REACTION	A1	noun
313	capital letter		A2	noun
314	card	GREETINGS	A2	noun
315	accent	PRONUNCIATION	B1	noun
316	alarm	WARNING	B1	noun
317	alphabet		B1	noun
318	brochure		B1	noun
319	call	SHOUT	B1	noun
320	card	INFORMATION	B1	noun
321	certificate		B1	noun
322	accent	MARK	B2	noun
323	account	REPORT	B2	noun
324	apostrophe		B2	noun
325	arrow	SYMBOL	B2	noun
326	ban		B2	noun
327	booklet		B2	noun
328	chart	DRAWING	B2	noun
329	colon		B2	noun
330	appeal	REQUEST	C1	noun
331	character	WRITING	C1	noun
332	claim	STATEMENT	C1	noun
333	channel	COMMUNICATION	C2	noun
334	cliché		C2	noun
335	advice		A2	noun
336	blame		B2	noun
337	chat		A2	noun
338	apology		B1	noun
339	code	SECRET MESSAGE	B2	noun
340	attack	CRITICISM	C2	noun
341	answer	DOOR/TELEPHONE	A2	noun
342	chat	TALK	A2	verb
343	apologise		B1	verb
